seed,exp_id,tg_accuracy_v
45,0,0.4718
45,1,0.6021
45,2,0.5755
45,3,0.0
45,4,0.4205
45,5,0.1578
45,6,0.6156
46,0,0.4715
46,1,0.6002
46,2,0.5764
46,3,0.0
46,4,0.4207
46,5,0.1579
46,6,0.6151
47,0,0.4754
47,1,0.6019
47,2,0.5757
47,3,0.9286
47,4,0.4205
47,5,0.1579
47,6,0.6151
48,0,0.902
48,1,0.602
48,2,0.5753
48,3,0.19
48,4,0.4204
48,5,0.1573
48,6,0.615
49,0,0.8966
49,1,0.7921
49,2,0.5752
49,3,0.1463
49,4,0.4208
49,5,0.1575
49,6,0.6149
