method,eta,mae,median_ae,n_valid,n_censored_true,n_censored_pred
NB-SSP (reg),1.5,0.5752688172043011,0.0,186,0,0
NB-SSP (reg),2.0,1.478494623655914,1.0,186,0,0
NB-SSP (reg),3.0,2.6265060240963853,2.0,166,11,9
TG-SSP,1.5,0.5806451612903226,0.0,186,0,0
TG-SSP,2.0,1.413978494623656,1.0,186,0,0
TG-SSP,3.0,2.554913294797688,2.0,173,11,2
IBP,1.5,0.9731182795698925,1.0,186,0,0
IBP,2.0,1.6935483870967742,1.0,186,0,0
IBP,3.0,3.514450867052023,3.0,173,11,2
Linear extrap.,1.5,0.5591397849462365,0.0,186,0,0
Linear extrap.,2.0,1.4731182795698925,1.0,186,0,0
Linear extrap.,3.0,2.5714285714285716,2.0,175,11,0
Jackknife (J3),1.5,0.5591397849462365,0.0,186,0,0
Jackknife (J3),2.0,1.3763440860215055,1.0,186,0,0
Jackknife (J3),3.0,2.7714285714285714,2.0,175,11,0
