method,eta,mae,median_ae,n_valid,n_censored_true,n_censored_pred
NB-SSP (reg),1.5,0.5095541401273885,0.0,157,0,0
NB-SSP (reg),2.0,1.3821656050955413,1.0,157,0,0
NB-SSP (reg),3.0,3.0254777070063694,2.0,157,0,0
TG-SSP,1.5,0.535031847133758,0.0,157,0,0
TG-SSP,2.0,1.3248407643312101,1.0,157,0,0
TG-SSP,3.0,2.878980891719745,2.0,157,0,0
IBP,1.5,0.8789808917197452,1.0,157,0,0
IBP,2.0,1.5477707006369428,1.0,157,0,0
IBP,3.0,3.337579617834395,3.0,157,0,0
Linear extrap.,1.5,0.5031847133757962,0.0,157,0,0
Linear extrap.,2.0,1.3821656050955413,1.0,157,0,0
Linear extrap.,3.0,2.929936305732484,3.0,157,0,0
Jackknife (J3),1.5,0.5031847133757962,0.0,157,0,0
Jackknife (J3),2.0,1.2738853503184713,1.0,157,0,0
Jackknife (J3),3.0,2.840764331210191,2.0,157,0,0
